timestamp,weakest_etf,prev_best_calmar,prev_best_cell,name,ticker,axis,labeler,thresh,sizing,real_calmar,real_da,trades,g2_pass,deployable,synth_cal,train_auc,val_auc,real_sharpe,real_skew,real_kurt,n_days,is_winner,kept_as_new_best,train_status,infer_status
2026-06-02T17:06:38,TLT,1.5221,TLT_range_triple_barrier_ls_overlay_t0.50,A,TLT,range,triple_barrier,0.5,ls_overlay,-0.0014,5.9393,163,True,True,0.245,0.5299,0.4896,,,,,True,False,completed,completed
2026-06-02T17:06:38,TLT,1.5221,TLT_range_triple_barrier_ls_overlay_t0.50,B,TLT,range,triple_barrier,0.55,ls_overlay,-0.0014,5.9393,163,True,True,0.245,0.5299,0.4896,,,,,False,False,completed,completed
2026-06-02T17:17:54,TLT,1.5221,TLT_range_triple_barrier_ls_overlay_t0.50,A,TLT,range,triple_barrier,0.5,ls_overlay,-0.0014,5.9393,163,True,True,0.245,0.5299,0.4896,,,,,True,False,completed,completed
2026-06-02T17:17:54,TLT,1.5221,TLT_range_triple_barrier_ls_overlay_t0.50,B,TLT,range,triple_barrier,0.45,ls_overlay,-0.0014,5.9393,163,True,True,0.245,0.5299,0.4896,,,,,False,False,completed,completed
2026-06-02T18:25:22,IWM,0.5496,IWM_logdollar_always_long_always_long_t0.50,A,IWM,logdollar,trend_scan,0.45,cdf_overlay,0.3,7.9829,373,True,True,0.0915,0.7503,0.533,,,,,True,False,completed,completed
2026-06-02T18:25:22,IWM,0.5496,IWM_logdollar_always_long_always_long_t0.50,B,IWM,logdollar,regime_gmm,0.45,cdf_overlay,0.0,0.0,0,False,False,0.0,0.0,0.0,,,,,False,False,completed,completed
2026-06-02T18:29:55,TLT,-0.0567,TLT_range_triple_barrier_ls_overlay_t0.50,A,TLT,logdollar,trend_scan,0.45,ls_overlay,-0.0387,29.9251,548,True,True,0.635,0.7261,0.6122,,,,,True,True,completed,completed
2026-06-02T18:29:55,TLT,-0.0567,TLT_range_triple_barrier_ls_overlay_t0.50,B,TLT,imbalance,cusum_regime,0.45,ls_overlay,-0.2372,85.9912,1674,True,True,-0.3516,0.9969,0.9824,,,,,False,False,completed,completed
2026-06-02T18:40:35,DBC,0.9119,DBC_logdollar_always_long_cdf_overlay_t0.45,A,DBC,logdollar,trend_scan,0.45,cdf_overlay,0.2786,9.9422,119,True,True,0.3573,0.712,0.5299,,,,,True,False,completed,completed
2026-06-02T18:40:35,DBC,0.9119,DBC_logdollar_always_long_cdf_overlay_t0.45,B,DBC,logdollar,trend_scan,0.45,ls_overlay,-0.2772,39.4636,248,True,True,-0.2101,0.712,0.5299,,,,,False,False,completed,completed
2026-06-02T19:06:36,GLD,2.1631,GLD_logdollar_trend_scan_cdf_overlay_t0.45,A,GLD,range,trend_scan,0.45,cdf_overlay,0.8488,2.7224,536,True,True,0.0028,0.6007,0.4982,,,,,False,False,completed,completed
2026-06-02T19:06:36,GLD,2.1631,GLD_logdollar_trend_scan_cdf_overlay_t0.45,B,GLD,zcusum,trend_scan,0.45,cdf_overlay,1.146,3.3779,1465,True,True,-0.0103,0.6691,0.5109,,,,,True,False,completed,completed
2026-06-02T19:16:56,UUP,1.0831,UUP_imbalance_bgm_cdf_overlay_t0.40,A,UUP,imbalance,trend_scan,0.45,ls_overlay,0.2286,13.7733,122,True,True,5.6854,0.9007,0.8386,,,,,False,False,completed,completed
2026-06-02T19:16:56,UUP,1.0831,UUP_imbalance_bgm_cdf_overlay_t0.40,B,UUP,logdollar,trend_scan,0.45,ls_overlay,0.7316,3.0689,226,True,True,0.7178,0.6448,0.504,,,,,True,False,completed,completed
2026-06-02T19:25:56,TLT,-0.0387,TLT_logdollar_trend_scan_ls_overlay_t0.45,A,TLT,logdollar,dc_reversal,0.45,ls_overlay,-0.081,68.1414,1868,True,True,-0.1143,0.9587,0.9418,,,,,True,False,completed,completed
2026-06-02T19:25:56,TLT,-0.0387,TLT_logdollar_trend_scan_ls_overlay_t0.45,B,TLT,logdollar,dc_trend,0.45,ls_overlay,-0.1565,62.458,1889,True,True,-0.4606,0.9587,0.9428,,,,,False,False,completed,completed
2026-06-02T20:53:13,GLD,2.1631,GLD_logdollar_trend_scan_cdf_overlay_t0.45,A,GLD,logdollar,trend_scan+cusum_regime,0.45,cdf_overlay,2.0429,11.4985,945,True,True,0.0,0.865,0.7694,1.5703,0.1006,8.0853,710,True,False,completed,completed
2026-06-02T20:53:13,GLD,2.1631,GLD_logdollar_trend_scan_cdf_overlay_t0.45,B,GLD,logdollar,trend_scan+bgm,0.45,cdf_overlay,1.7978,1.5774,487,True,True,0.0,0.7427,0.533,1.1425,4.741,66.2281,710,False,False,completed,completed
2026-06-02T21:33:54,IWM,0.5496,IWM_logdollar_always_long_always_long_t0.50,A,IWM,imbalance,bgm,0.45,cdf_overlay,0.5116,4.6221,639,True,True,0.1271,0.8415,0.6472,0.539,2.4923,87.2925,710,False,False,completed,completed
2026-06-02T21:33:54,IWM,0.5496,IWM_logdollar_always_long_always_long_t0.50,B,IWM,logdollar,cusum_regime,0.45,cdf_overlay,0.7563,24.1633,857,True,True,-0.0169,0.9916,0.9399,0.7186,1.5635,12.0448,710,True,True,completed,completed
